Marker,Uhrzeit,Datum,Datum Uhrzeit,hours,minutes,sec,minutes 0uhr =0,minutes,minutes 0=start,minute 0=start,F2_hc,F6_hc,F14_hc,F30_hc,E2_hc,E6_hc,E14_hc,E30_hc,D2_hc,D6_hc,D14_hc,D30_hc,C2_hc,C6_hc,C14_hc,C30_hc,B2_hc,B6_hc,B14_hc,B30_hc,A2_hc,A6_hc,A14_hc,A30_hc,a30_conv,a30_conv
,09:08:24,17/04/2009,17/04/2009 09:08,9,8,24,548.4,0,19.1,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:08:34,17/04/2009,17/04/2009 09:08,9,8,34,548.567,0.167,18.933,-18.933,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:08:44,17/04/2009,17/04/2009 09:08,9,8,44,548.733,0.333,18.767,-18.767,91.5,95.7,96.6,96.4,106.4,99.1,102.6,96.5,111.6,108.6,110.6,111.6,117.9,109.5,110.9,112.2,110.6,114,113.6,115.3,114.1,112.9,118,115.8,135.8,115.8
,09:08:54,17/04/2009,17/04/2009 09:08,9,8,54,548.9,0.5,18.6,-18.6,91.6,95.6,96.6,96.4,106.1,99.1,102.6,96.6,111.6,108.6,110.7,111.6,117.9,109.5,110.9,112.2,110.5,114,113.6,115.1,114.2,113,118,115.9,135.9,115.9
,09:09:04,17/04/2009,17/04/2009 09:09,9,9,4,549.067,0.667,18.433,-18.433,91.7,95.4,96.6,96.5,106.1,99.1,102.5,96.6,111.6,108.6,110.7,111.7,118,109.4,110.9,112.1,110.5,114.1,113.6,115,114.2,113,117.8,116,136,116
,09:09:14,17/04/2009,17/04/2009 09:09,9,9,14,549.233,0.833,18.267,-18.267,91.7,95.3,96.7,96.5,106.3,99.2,102.5,96.6,111.7,108.6,110.8,111.7,118,109.5,111,112.1,110.6,114,113.6,115.1,114.2,113,117.7,116.1,136.1,116.1
,09:09:24,17/04/2009,17/04/2009 09:09,9,9,24,549.4,1,18.1,-18.1,91.6,95.4,96.8,96.5,106.5,99.2,102.6,96.6,111.7,108.4,110.9,111.7,118.2,109.4,111,112.1,110.7,113.9,113.5,115.2,114.1,113,117.7,116.1,136.1,116.1
,09:09:34,17/04/2009,17/04/2009 09:09,9,9,34,549.567,1.167,17.933,-17.933,91.5,95.5,96.8,96.5,106.5,99.2,102.6,96.5,111.7,108.4,110.9,111.6,118.2,109.5,111,112.1,110.8,113.9,113.6,115.3,114.1,112.9,117.7,116.2,136.2,116.2
,09:09:44,17/04/2009,17/04/2009 09:09,9,9,44,549.733,1.333,17.767,-17.767,91.6,95.5,96.6,96.5,106.5,99.2,102.6,96.4,111.6,108.5,110.9,111.5,118.1,109.5,111.1,112.1,110.8,113.9,113.6,115.2,114.2,112.9,117.8,116,136,116
,09:09:54,17/04/2009,17/04/2009 09:09,9,9,54,549.9,1.5,17.6,-17.6,91.7,95.5,96.6,96.5,106.5,99.1,102.8,96.4,111.6,108.5,110.7,111.3,118,109.4,111.1,112.1,110.7,113.9,113.6,115.2,114.2,112.9,117.9,115.8,135.8,115.8
